id,nombre,precio
129,Nigella,4
130,Tagete,14
131,Violeta,10
132,Lantana,17
133,Nemesia,2
134,Ranúnculo,13
135,Jacinto,1
136,Pensamiento,10
137,Petunia,25
138,Dalia,25
139,Caléndula,10
140,Prímula,4
141,Rosa,16
142,Echinácea,6
143,Amapola,13
144,Scabiosa,23
145,Verbena,17
146,Tritoma,27
147,Tuberosa,3
148,Ciclamen,28
149,Margarita,14
150,Lirio,15
151,Peonía,28
152,Phlox,19
153,Dianthus,19
154,Coreopsis,23
155,Delphinium,10
156,Violeta,13
157,Lirio,11
158,Crisantemo,26
159,Gypsophila,27
160,Alstroemeria,3
161,Echinácea,28
162,Lavanda,8
163,Echinácea,19
164,Coreopsis,17
165,Azalea,13
166,Nemesia,24
167,Statice,8
168,Salvia,25
169,Crisantemo,3
170,Nigella,21
171,Violeta,17
172,Nigella,7
173,Tagete,12
174,Geranio,8
175,Lavanda,5
176,Caléndula,7
177,Fucsia,20
178,Iris,25
179,Peonía,6
180,Malva,15
181,Yuca,25
182,Gladiolo,22
183,Yuca,21
184,Prímula,28
185,Phlox,5
186,Gaura,3
187,Ixora,15
188,Miosotis,26
189,Heleboro,19
190,Jacinto,12
191,Monarda,3
192,Nemesia,15
193,Gladiolo,2
194,Jacinto,12
195,Liatris,3
196,Camelia,20
197,Monarda,13
198,Heliconia,19
199,Tradescantia,26
200,Margarita,15
201,Zantedeschia,21
202,Jazmín,11
203,Ixora,17
204,Iris,2
205,Gladiolo,4
206,Statice,23
207,Azalea,17
208,Fucsia,2
209,Anémona,23
210,Gaura,15
211,Paphiopedilum,17
212,Begonia,12
213,Agapanto,30
214,Liatris,13
215,Cosmos,25
216,Statice,22
217,Girasol,26
218,Salvia,3
219,Salvia,4
220,Tritoma,22
221,Celosía,10
222,Caléndula,24
223,Iris,11
224,Azalea,19
225,Geranio,30
226,Tagete,10
227,Ciclamen,5
228,Azalea,10
229,Tritoma,13
230,Salvia,27
231,Amapola,22
232,Paphiopedilum,3
233,Dianthus,17
234,Alstroemeria,1
235,Alstroemeria,10
236,Hibisco,7
237,Statice,25
238,Lantana,7
239,Ranúnculo,5
240,Iris,3
241,Lupino,28
242,Gardenia,17
243,Strelitzia,27
244,Paphiopedilum,2
245,Statice,29
246,Amapola,20
247,Boca de dragón,5
248,Begonia,6
249,Crisantemo,24
250,Gaura,2
251,Cosmos,12
252,Zinnia,15
253,Liatris,25
254,Gladiolo,8
255,Scabiosa,8
256,Nemesia,26
257,Ixora,29
258,Jazmín,12
259,Zantedeschia,15
260,Heliconia,25
261,Liatris,25
262,Boca de dragón,17
263,Paphiopedilum,14
264,Begonia,27
265,Magnolia,26
266,Dalia,28
267,Caléndula,2
268,Kalanchoe,28
269,Agapanto,18
270,Lavanda,23
271,Oxalis,28
272,Hortensia,10
273,Azalea,25
274,Begonia,9
275,Gladiolo,29
276,Nigella,5
277,Echinácea,3
278,Ranúnculo,27
279,Gladiolo,29
280,Tagete,30
281,Orquídea,14
282,Girasol,13
283,Monarda,12
284,Zinnia,13
285,Azalea,12
286,Ranúnculo,1
287,Phlox,30
288,Gardenia,27
289,Salvia,26
290,Geranio,5
291,Clavel,10
292,Ixora,23
293,Dalia,25
294,Ixora,15
295,Rosa,29
296,Azalea,1
297,Caléndula,7
298,Iris,18
299,Paphiopedilum,14
300,Violeta,25
301,Liatris,8
302,Miosotis,4
303,Girasol,8
304,Delphinium,21
305,Gypsophila,3
306,Violeta,27
307,Malva,20
308,Scabiosa,1
309,Nigella,19
310,Zinnia,23
311,Geranio,10
312,Dianthus,1
313,Tuberosa,8
314,Zantedeschia,14
315,Hibisco,22
316,Azalea,17
317,Alstroemeria,3
318,Paphiopedilum,18
319,Monarda,26
320,Monarda,18
321,Lirio,13
322,Ixora,2
323,Celosía,12
324,Caléndula,24
325,Lirio,12
326,Narciso,12
327,Zinnia,24
328,Lavanda,25
329,Salvia,5
330,Margarita,12
331,Strelitzia,11
332,Fucsia,27
333,Heliconia,23
334,Kalanchoe,21
335,Hibisco,26
336,Dalia,3
337,Gypsophila,2
338,Lupino,7
339,Margarita,26
340,Magnolia,29
341,Margarita,11
342,Nemesia,17
343,Ciclamen,27
344,Strelitzia,16
345,Caléndula,2
346,Jazmín,10
347,Tuberosa,28
348,Girasol,28
349,Salvia,9
350,Hortensia,26
