id,nombre,precio
255,Nigella,13
256,Scabiosa,11
257,Orquídea,4
258,Campánula,6
259,Campánula,2
260,Lavanda,20
261,Echinácea,12
262,Phlox,14
263,Nigella,4
264,Celosía,29
265,Zantedeschia,7
266,Caléndula,2
267,Echinácea,1
268,Oxalis,30
269,Scabiosa,22
270,Magnolia,12
271,Echinácea,3
272,Salvia,20
273,Phlox,22
274,Hortensia,24
275,Miosotis,17
276,Nemesia,22
277,Cosmos,11
278,Coreopsis,23
279,Lupino,18
280,Amapola,7
281,Delphinium,22
282,Boca de dragón,22
283,Fucsia,20
284,Yuca,10
285,Coreopsis,18
286,Rosa,10
287,Liatris,7
288,Echinácea,26
289,Prímula,15
290,Gaura,15
291,Petunia,17
292,Ixora,26
293,Crisantemo,22
294,Azalea,10
295,Nigella,22
296,Salvia,3
297,Zinnia,22
298,Nemesia,8
299,Magnolia,5
300,Orquídea,2
301,Anémona,16
302,Peonía,15
303,Delphinium,29
304,Zantedeschia,7
305,Celosía,16
306,Coreopsis,8
307,Geranio,21
308,Rosa,29
309,Lavanda,25
310,Dianthus,8
311,Fucsia,26
312,Oxalis,15
313,Girasol,18
314,Anémona,30
315,Hortensia,15
316,Dalia,26
317,Heliconia,22
318,Paphiopedilum,18
319,Phlox,25
320,Gaura,20
321,Monarda,14
322,Tradescantia,15
323,Begonia,24
324,Ixora,15
325,Campánula,25
326,Anémona,27
327,Heleboro,25
328,Oxalis,16
329,Zinnia,9
330,Gaura,3
331,Liatris,8
332,Fresia,11
333,Phlox,29
334,Strelitzia,3
335,Dalia,5
336,Verbena,13
337,Iris,23
338,Petunia,3
339,Delphinium,14
340,Salvia,18
341,Heliconia,14
342,Jacinto,7
343,Delphinium,13
344,Lirio,28
345,Zantedeschia,13
346,Kalanchoe,1
347,Tuberosa,10
348,Celosía,28
349,Delphinium,18
350,Strelitzia,26
